cellLine	Treatment	Replicate	Time	Confluency
PC3-F4	HBSS	1	1	1.016666667
PC3-F4	HBSS	1	2	1.061309524
PC3-F4	HBSS	1	3	1.04047619
PC3-F4	HBSS	1	4	1.094642857
PC3-F4	HBSS	1	5	1.07797619
PC3-F4	HBSS	1	6	1.094642857
PC3-F4	HBSS	1	7	1.11547619
PC3-F4	HBSS	1	8	1.11547619
PC3-F4	HBSS	1	9	1.15297619
PC3-F4	HBSS	1	10	1.15297619
PC3-F4	HBSS	1	11	1.197619048
PC3-F4	HBSS	1	12	1.176785714
PC3-F4	HBSS	1	13	1.193452381
PC3-F4	HBSS	1	14	1.214285714
PC3-F4	HBSS	1	15	1.230952381
PC3-F4	HBSS	1	16	1.230952381
PC3-F4	HBSS	1	17	1.251785714
PC3-F4	HBSS	1	18	1.275595238
PC3-F4	HBSS	1	19	1.251785714
PC3-F4	HBSS	1	20	1.251785714
PC3-F4	HBSS	1	21	1.251785714
PC3-F4	HBSS	1	22	1.251785714
PC3-F4	HBSS	1	23	1.251785714
PC3-F4	HBSS	1	24	1.296428571
PC3-F4	HBSS	1	25	1.296428571
PC3-F4	HBSS	1	26	1.296428571
PC3-F4	HBSS	1	27	1.272619048
PC3-F4	HBSS	1	28	1.272619048
PC3-F4	HBSS	1	29	1.289285714
PC3-F4	HBSS	1	30	1.289285714
PC3-F4	HBSS	1	31	1.333928571
PC3-F4	HBSS	1	32	1.313095238
PC3-F4	HBSS	1	33	1.289285714
PC3-F4	HBSS	1	34	1.310119048
PC3-F4	HBSS	1	35	1.310119048
PC3-F4	HBSS	1	36	1.305952381
PC3-F4	HBSS	1	37	1.326785714
PC3-F4	HBSS	1	38	1.326785714
PC3-F4	HBSS	1	39	1.326785714
PC3-F4	HBSS	1	40	1.326785714
PC3-F4	HBSS	1	41	1.326785714
PC3-F4	HBSS	1	42	1.326785714
PC3-F4	HBSS	1	43	1.343452381
PC3-F4	HBSS	1	44	1.326785714
PC3-F4	HBSS	1	45	1.347619048
PC3-F4	HBSS	1	46	1.326785714
PC3-F4	HBSS	1	47	1.364285714
PC3-F4	HBSS	2	0	1
PC3-F4	HBSS	2	1	1.049450549
PC3-F4	HBSS	2	2	1.049450549
PC3-F4	HBSS	2	3	1.049450549
PC3-F4	HBSS	2	4	1.049450549
PC3-F4	HBSS	2	5	1.086487586
PC3-F4	HBSS	2	6	1.086487586
PC3-F4	HBSS	2	7	1.086487586
