id	filename	md5	size	state
1275efd6-83e7-44a4-85a5-bdf44fb0d2c5	a52e728c-c352-4fd7-8f3c-fe0fbf2854d0.htseq.counts.gz	c49299f1a6ba7b5cafbfaec289e6017e	251176	live
27d83a7f-df1c-401f-8c55-67a449542a0b	e4a20e3d-51ce-41a1-b200-0dcbfd01e674.htseq.counts.gz	77724462c2ce8fa64f8c3d7ca98a4421	255073	live
0197e35a-79b9-43cc-baab-10264da1b725	a51b7073-656b-4fe2-a437-f3d573bab3ac.htseq.counts.gz	25556061645f097d50840d7c86d3d93d	249736	live
e0b85c72-2da1-4852-88e1-3ded069e367c	50e551a4-06dc-4bf4-a979-2552f1103f38.htseq.counts.gz	2af1ce47f3a1900843c115fd3b2b27c8	254669	live
e8c09be4-5ce0-47c0-8355-cb1217720b93	88cff3f6-03c3-494f-a85d-d29ec76fda97.htseq.counts.gz	e88715863824b6a714a90d7ca340916a	254678	live
0c1f1a8b-b655-42b6-847a-9810235836a2	e158f016-7605-45b7-8e4f-bbe313fc461c.htseq.counts.gz	3cdce383771c43a350bea9465d0e200d	251136	live
9e7ca3a0-4af5-407e-a2fa-7484fadcbfc8	5959921c-0711-473c-85ea-6cf4ed0fb77f.htseq.counts.gz	f5374a7fce1da0dfa9116d4ba690aab0	245606	live
4221fb8c-44e6-4e2a-9207-d8868cfb6ce5	118933b6-86c7-4668-9973-424ece352a60.htseq.counts.gz	252f347b3a007eeb1b663db8c5e27278	253864	live
a0906ed7-1afe-42cf-81df-cd13fe190cba	d72c9ded-5e78-4d07-ba07-a52ea1032816.htseq.counts.gz	96d20a41f1b3e0555ccafb76f80d6544	251947	live
0d8a3814-8203-43a4-9ff2-c28d8f2b5663	745ac154-b1b6-4518-a3ec-610a1f46e5f0.htseq.counts.gz	bddcde3ad875179e702c0cf9ea278b2d	255092	live
a560504f-6cd1-416d-93c7-77aab2cc921c	0e3c0131-7ad3-425d-ade3-a75296581f43.htseq.counts.gz	f121037a3df2b07720343671402cba24	252957	live
6d1ffac1-6883-4749-ac9c-efa98844d892	7a8e67ae-ec7c-4528-a625-ad298052b529.htseq.counts.gz	6632b65558ba640d1b0e66e51eba4c92	254128	live
5f47bd26-2821-4011-b2e4-8f196eacf485	37616fc4-9761-47f8-a819-9a9ed6564b21.htseq.counts.gz	24fee9f0916a5926e7ba8ba1d617c07c	256455	live
6dbf0b35-69c4-47a9-aa7e-8afae0b2c687	49072d20-b1fd-485c-b9c7-6169ce301481.htseq.counts.gz	10b62687d95cfc0f12a2dd9121d6aa52	238583	live
0b56c9da-6e5c-47a5-8ffd-cbbbd4d7da04	e9e955be-706d-464a-afba-37a52b19e092.htseq.counts.gz	d3f23ed5170b192b633f42cd88383ad7	254745	live
78e09acb-0869-47e2-968e-76c2dce18b1f	ac221a46-de94-4e57-9901-5d45e84cf4d0.htseq.counts.gz	750f5aff9086758a55b920b35bd2e876	248674	live
4b1f6fe3-4971-41b8-8b29-57ad0cec4c79	c947395a-e0f1-4539-8f56-9c569f01821b.htseq.counts.gz	9da8d1cc550de23a5783c6cd86a4a4a9	249447	live
eae2219e-38fb-494e-bdfa-7fef05511a8c	056e323e-a25f-4699-bf84-75ba9c32fd16.htseq.counts.gz	6f73014679330c1e0c03508e0fa837d6	259969	live
673a85f3-ba5e-448a-acee-dfec77b5238e	d07c7238-807f-48b1-bf06-deaa6200f4aa.htseq.counts.gz	b07dddd077d9db4f26b3e2ae066555c4	252807	live
ca2da18b-7519-457a-9e3b-4e4732744669	7a494c60-48a3-486a-83c2-aefb4c160a2c.htseq.counts.gz	b6b9a0cb288f85d25c55e3a176b2e2ef	255845	live
60248b66-88bc-470f-bd9b-d7185be3fd8e	9bef4ae5-c2df-446e-b283-75f5b172fc10.htseq.counts.gz	d90a629afa115fce39facfcdac322301	257844	live
6b26c1e5-14f3-4a99-9f09-2f398cc2a7a5	7d77efb6-ce73-4e81-8cf3-957835f58334.htseq.counts.gz	91b42161b1e10c2e422b90a1cce2435f	254365	live
21e5745a-c875-47f1-817a-79e8c1532a2e	ca385f3c-a181-47f0-b8c9-955e0c7a8703.htseq.counts.gz	95dab7cee24d5d1c1596219e67cc9320	258788	live
