experiment	cellLine	Sample Name	Gene	Ct1	Ct2	Ct3
1	Skov3	mock	miR34a	32.802563	32.568604	33.008957
2	Skov3	mock	miR34a	34.29094	32.833374	35.442726
3	Skov3	mock	miR34a	33.47264	34.513523	34.653603
4	Skov3	mock	miR34a	33.741894	33.917496	34.264095
5	Skov3	mock	miR34a	34.042305	33.835842	35.118107
1	Skov3	miR34a AS	miR34a	33.570946	33.17456	34.311424
2	Skov3	miR34a AS	miR34a	32.656082	33.648453	32.655342
3	Skov3	miR34a AS	miR34a	32.62734	32.465355	31.61757
4	Skov3	miR34a AS	miR34a	32.158882	32.239227	31.949602
5	Skov3	miR34a AS	miR34a	31.516516	30.797482	30.65039
1	Skov3	mock	RNU48	22.955935	23.108324	23.00094
2	Skov3	mock	RNU48	22.172983	22.176762	22.236555
3	Skov3	mock	RNU48	22.077797	22.173765	22.16382
4	Skov3	mock	RNU48	21.595266	21.661947	21.792639
5	Skov3	mock	RNU48	22.885872	22.958576	22.920805
1	Skov3	miR34a AS	RNU48	22.648829	22.700834	22.781408
2	Skov3	miR34a AS	RNU48	23.108202	23.366495	22.986357
3	Skov3	miR34a AS	RNU48	23.098799	23.295269	22.997093
4	Skov3	miR34a AS	RNU48	23.327885	23.451529	23.336155
5	Skov3	miR34a AS	RNU48	22.649685	22.627813	22.58524
