experiment	condition	protein	pixel	Intensity	background
1	mock	CCND1	1818	108.44	30
2	mock	CCND1	1818	112.7	42
3	mock	CCND1	1818	116.53	54.2
1	miR34a AS	CCND1	1818	64.8	47.4
2	miR34a AS	CCND1	1818	49.7	35
3	miR34a AS	CCND1	1818	44.34	25.74
1	mock	GAPDH	2625	143.2	11.7
2	mock	GAPDH	2625	178	18.1
3	mock	GAPDH	2625	168.7	17.1
1	miR34a AS	GAPDH	2625	129.4	13.9
2	miR34a AS	GAPDH	2625	184.2	15.1
3	miR34a AS	GAPDH	3534	175.3	14
