cellLine	fraction	gene	Ct1	Ct2
HEK293t	Cytoplasmic	miR34a asRNA	28.21705	28.179201
HEK293t	Nuclear	miR34a asRNA	31.045153	31.948202
HEK293t	Cytoplasmic	miR34a HG	28.998968	29.181889
HEK293t	Nuclear	miR34a HG	26.438938	26.476505
HEK293t	Cytoplasmic	B-actin	10.587802	10.883335
HEK293t	Nuclear	B-actin	13.9164295	13.717335
HEK293t	Cytoplasmic	RNU48	20.156654	20.086071
HEK293t	Nuclear	RNU48	15.850941	15.913822
